radius_mean,texture_mean,smoothness_mean,concavity_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,compactness_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,diagnosis
17.99,10.38,0.1184,0.3001,0.2419,0.07871,1.095,0.9053,0.006399,0.04904,0.05373,0.01587,0.03003,0.006193,0.6656,0.2654,0.4601,0.1189,0
20.57,17.77,0.08474,0.0869,0.1812,0.05667,0.5435,0.7339,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,0.1866,0.186,0.275,0.08902,0
19.69,21.25,0.1096,0.1974,0.2069,0.05999,0.7456,0.7869,0.00615,0.04006,0.03832,0.02058,0.0225,0.004571,0.4245,0.243,0.3613,0.08758,0
11.42,20.38,0.1425,0.2414,0.2597,0.09744,0.4956,1.156,0.00911,0.07458,0.05661,0.01867,0.05963,0.009208,0.8663,0.2575,0.6638,0.173,0
20.29,14.34,0.1003,0.198,0.1809,0.05883,0.7572,0.7813,0.01149,0.02461,0.05688,0.01885,0.01756,0.005115,0.205,0.1625,0.2364,0.07678,0
12.45,15.7,0.1278,0.1578,0.2087,0.07613,0.3345,0.8902,0.00751,0.03345,0.03672,0.01137,0.02165,0.005082,0.5249,0.1741,0.3985,0.1244,0
18.25,19.98,0.09463,0.1127,0.1794,0.05742,0.4467,0.7732,0.004314,0.01382,0.02254,0.01039,0.01369,0.002179,0.2576,0.1932,0.3063,0.08368,0
13.71,20.83,0.1189,0.09366,0.2196,0.07451,0.5835,1.377,0.008805,0.03029,0.02488,0.01448,0.01486,0.005412,0.3682,0.1556,0.3196,0.1151,0
13.0,21.82,0.1273,0.1859,0.235,0.07389,0.3063,1.002,0.005731,0.03502,0.03553,0.01226,0.02143,0.003749,0.5401,0.206,0.4378,0.1072,0
12.46,24.04,0.1186,0.2273,0.203,0.08243,0.2976,1.599,0.007149,0.07217,0.07743,0.01432,0.01789,0.01008,1.058,0.221,0.4366,0.2075,0
16.02,23.24,0.08206,0.03299,0.1528,0.05697,0.3795,1.187,0.004029,0.009269,0.01101,0.007591,0.0146,0.003042,0.1551,0.09975,0.2948,0.08452,0
15.78,17.89,0.0971,0.09954,0.1842,0.06082,0.5058,0.9849,0.005771,0.04061,0.02791,0.01282,0.02008,0.004144,0.5609,0.181,0.3792,0.1048,0
19.17,24.8,0.0974,0.2065,0.2397,0.078,0.9555,3.568,0.003139,0.08297,0.0889,0.0409,0.04484,0.01284,0.3903,0.1767,0.3176,0.1023,0
15.85,23.95,0.08401,0.09938,0.1847,0.05338,0.4033,1.078,0.009769,0.03126,0.05051,0.01992,0.02981,0.003002,0.1924,0.1119,0.2809,0.06287,0
13.73,22.61,0.1131,0.2128,0.2069,0.07682,0.2121,1.169,0.006429,0.05936,0.05501,0.01628,0.01961,0.008093,0.7725,0.2208,0.3596,0.1431,0
14.54,27.54,0.1139,0.1639,0.2303,0.07077,0.37,1.033,0.005607,0.0424,0.04741,0.0109,0.01857,0.005466,0.6577,0.1712,0.4218,0.1341,0
14.68,20.13,0.09867,0.07395,0.1586,0.05922,0.4727,1.24,0.005718,0.01162,0.01998,0.01109,0.0141,0.002085,0.1871,0.1609,0.3029,0.08216,0
16.13,20.68,0.117,0.1722,0.2164,0.07356,0.5692,1.073,0.007026,0.02501,0.03188,0.01297,0.01689,0.004142,0.4233,0.2073,0.3706,0.1142,0
19.81,22.15,0.09831,0.1479,0.1582,0.05395,0.7582,1.017,0.006494,0.01893,0.03391,0.01521,0.01356,0.001997,0.315,0.2388,0.2768,0.07615,0
13.54,14.36,0.09779,0.06664,0.1885,0.05766,0.2699,0.7886,0.008462,0.0146,0.02387,0.01315,0.0198,0.0023,0.1773,0.1288,0.2977,0.07259,1
13.08,15.71,0.1075,0.04568,0.1967,0.06811,0.1852,0.7477,0.004097,0.01898,0.01698,0.00649,0.01678,0.002425,0.2776,0.07283,0.3184,0.08183,1
9.504,12.44,0.1024,0.02956,0.1815,0.06905,0.2773,0.9768,0.009606,0.01432,0.01985,0.01421,0.02027,0.002968,0.1148,0.06227,0.245,0.07773,1
15.34,14.26,0.1073,0.2077,0.2521,0.07032,0.4388,0.7096,0.006789,0.05328,0.06446,0.02252,0.03672,0.004394,0.5954,0.2393,0.4667,0.09946,0
21.16,23.04,0.09428,0.1097,0.1769,0.05278,0.6917,1.127,0.004728,0.01259,0.01715,0.01038,0.01083,0.001987,0.26,0.2009,0.2822,0.07526,0
16.65,21.38,0.1121,0.1525,0.1995,0.0633,0.8068,0.9017,0.006048,0.01882,0.02741,0.0113,0.01468,0.002801,0.3578,0.2095,0.3613,0.09564,0
17.14,16.4,0.1186,0.2229,0.304,0.07413,1.046,0.976,0.008029,0.03799,0.03732,0.02397,0.02308,0.007444,0.3949,0.255,0.4066,0.1059,0
14.58,21.53,0.1054,0.1425,0.2252,0.06924,0.2545,0.9832,0.004452,0.03055,0.02681,0.01352,0.01454,0.003711,0.6643,0.2701,0.4264,0.1275,0
